Issue Type,Summary,Epic Link,Priority,Story Points,Description,Acceptance Criteria,Due Date,Assignee,Labels,Components
Epic,Pipeline de Videos,WYU-EPIC-001,Critical,34,"Completar y optimizar el pipeline de procesamiento de videos YouTube con transcripciones wayuu","Pipeline completamente funcional sin errores críticos",2025-01-21,,backend;video;youtube,YouTube Processing
Story,Completar Videos Pendientes,WYU-EPIC-001,Critical,8,"Sincronizar todos los videos transcritos en la base de datos","El Himno Nacional transcrito está sincronizado en BD; Todos los 5 videos tienen transcripciones verificadas; No hay videos en estado fallido; El pipeline procesa videos de inicio a fin sin errores",2025-01-07,,backend;database;sync,YouTube Processing
Sub-task,Investigar estado actual del Himno Nacional,WYU-001,Critical,2,"Verificar archivos de transcripción existentes del Himno Nacional y identificar punto de falla en sincronización","Archivos de transcripción identificados; Logs de procesamiento revisados; Punto de falla documentado",2025-01-03,,backend;investigation,YouTube Processing
Sub-task,Sincronizar Himno Nacional en BD,WYU-001,Critical,5,"Desarrollar script de migración manual para sincronizar el Himno Nacional transcrito","Script de migración desarrollado; Integridad de datos validada; Registros actualizados en base de datos",2025-01-05,,backend;database;migration,YouTube Processing
Sub-task,Auditoría completa de videos,WYU-001,Critical,3,"Verificar estado de todos los videos y crear reporte de calidad","Estado de chavo-wayu verificado; Estado de cada video documentado; Reporte de calidad creado",2025-01-07,,backend;audit;quality,YouTube Processing
Story,Optimizar Pipeline de Procesamiento,WYU-EPIC-001,Critical,21,"Implementar procesamiento automático en segundo plano con manejo robusto de errores","Videos se procesan automáticamente al subir; Sistema maneja errores graciosamente; Reintentos automáticos implementados; Notificaciones en tiempo real",2025-01-17,,backend;queue;automation,YouTube Processing
Sub-task,Implementar procesamiento en background,WYU-002,Critical,8,"Implementar queue system con workers para procesamiento asíncrono","Queue system con BullMQ implementado; Workers asíncronos funcionando; Concurrencia manejada correctamente",2025-01-10,,backend;queue;async,YouTube Processing
Sub-task,Mejorar manejo de errores,WYU-002,Critical,5,"Implementar try-catch robusto y logging detallado para yt-dlp","Try-catch robusto implementado; Logging detallado configurado; Fallback strategies definidas",2025-01-12,,backend;error-handling;logging,YouTube Processing
Sub-task,Sistema de reintentos,WYU-002,Critical,3,"Implementar sistema de reintentos con exponential backoff","Exponential backoff implementado; Límites de retry configurados; Dead letter queue configurada",2025-01-14,,backend;retry;queue,YouTube Processing
Sub-task,Notificaciones en tiempo real,WYU-002,Critical,5,"Implementar WebSocket para notificaciones de estado en tiempo real","WebSocket integration completada; Estado de progreso en frontend; Notificaciones opcionales configuradas",2025-01-17,,frontend;websocket;notifications,YouTube Processing
Story,Dashboard de Monitoreo,WYU-EPIC-001,High,13,"Crear dashboard para monitorear el estado de todos los videos en procesamiento","Dashboard muestra estado en tiempo real; Métricas de performance visibles; Alertas para videos fallidos; Historial de procesamiento",2025-01-21,,frontend;monitoring;dashboard,YouTube Processing
Sub-task,Crear métricas de monitoreo,WYU-003,High,5,"Implementar métricas con Prometheus y dashboards de Grafana","Prometheus metrics implementadas; Grafana dashboards creados; Alerting rules configuradas",2025-01-19,,monitoring;prometheus;grafana,YouTube Processing
Sub-task,Panel de administración,WYU-003,High,8,"Crear panel de administración para gestión de videos","Lista de videos con estados implementada; Acciones de gestión disponibles; Logs en tiempo real visibles",2025-01-21,,frontend;admin;management,YouTube Processing
Epic,Procesamiento de PDFs,WYU-EPIC-002,High,55,"Implementar extracción inteligente de contenido wayuu-español de documentos PDF académicos","Sistema de procesamiento de PDFs completamente funcional",2025-02-18,,backend;pdf;nlp,PDF Processing
Story,Extracción Inteligente de PDFs,WYU-EPIC-002,High,47,"Extraer automáticamente palabras wayuu con sus traducciones de PDFs académicos","Sistema procesa PDFs de HF automáticamente; Extrae pares wayuu-español con >85% precisión; Valida calidad del contenido; Integra entradas al diccionario",2025-02-11,,backend;pdf;nlp;ml,PDF Processing
Sub-task,Desarrollar extractor base de PDFs,WYU-004,High,8,"Integrar PyPDF2 y pdfplumber para extracción de texto","PyPDF2 y pdfplumber integrados; Diferentes formatos PDF soportados; Extracción de texto estructurado funcionando",2025-01-28,,backend;pdf;extraction,PDF Processing
Sub-task,Parser específico wayuu-español,WYU-004,High,13,"Desarrollar parser para identificar y extraer traducciones wayuu-español","Regex patterns para traducciones implementados; ML para clasificación implementado; Validación de formato wayuu",2025-02-03,,backend;nlp;parsing;ml,PDF Processing
Sub-task,Procesamiento inteligente con NLP,WYU-004,High,21,"Implementar análisis NLP para detección de patrones lingüísticos","spaCy implementado; Patrones lingüísticos detectados; Contexto semántico extraído",2025-02-08,,backend;nlp;ml;linguistics,PDF Processing
Sub-task,Integración con pipeline existente,WYU-004,High,5,"Conectar extractor de PDFs con datasets service existente","Conexión con datasets service; Métricas automáticas actualizadas; Cache de resultados implementado",2025-02-11,,backend;integration;datasets,PDF Processing
Story,Integración con Hugging Face,WYU-EPIC-002,High,18,"Procesar automáticamente PDFs del repositorio wayuu_linguistic_sources","Descarga automática de PDFs desde HF; Procesamiento batch implementado; Cache inteligente funcionando; Métricas por documento",2025-02-18,,backend;huggingface;batch,PDF Processing
Sub-task,Cliente HF para PDFs,WYU-005,High,5,"Desarrollar cliente para descarga automática de PDFs desde Hugging Face","API integration con huggingface_hub; Download manager con retry; Metadata tracking implementado",2025-02-13,,backend;huggingface;api,PDF Processing
Sub-task,Procesamiento batch,WYU-005,High,8,"Implementar procesamiento en lotes de documentos PDF","Queue system para PDFs; Procesamiento paralelo; Progress tracking implementado",2025-02-16,,backend;batch;queue;parallel,PDF Processing
Sub-task,Sistema de cache avanzado,WYU-005,High,5,"Implementar cache inteligente para evitar reprocesamiento","Cache de contenido extraído; Versioning de documentos; Invalidación inteligente",2025-02-18,,backend;cache;optimization,PDF Processing
Epic,Herramientas de Aprendizaje,WYU-EPIC-003,Medium,89,"Desarrollar herramientas interactivas de aprendizaje con gamificación para wayuunaiki","Sistema completo de aprendizaje gamificado funcionando",2025-04-01,,frontend;education;gamification,Learning Tools
Story,Definición de Contenido Educativo,WYU-EPIC-003,High,16,"Definir temas específicos basados en pedagogía moderna para lenguas indígenas","15+ temas definidos y validados; Estructura pedagógica progresiva; Alineación con estándares educativos; Validación con expertos wayuu",2025-02-25,,education;research;content,Learning Tools
Sub-task,Investigación pedagógica,WYU-006,High,8,"Análisis de metodologías para lenguas indígenas","Metodologías analizadas; Literatura académica revisada; Benchmarking completado",2025-02-21,,research;education;methodology,Learning Tools
Sub-task,Definición de taxonomía temática,WYU-006,High,5,"Categorizar y secuenciar temas por niveles de dificultad","Categorización por niveles completada; Secuenciación lógica definida; Competencias mapeadas",2025-02-23,,education;taxonomy;curriculum,Learning Tools
Sub-task,Validación con expertos,WYU-006,High,3,"Consultar con lingüistas wayuu para validar contenido","Consulta con expertos realizada; Review de contenido cultural; Ajustes implementados",2025-02-25,,validation;cultural;expert-review,Learning Tools
Story,Sistema de Ejercicios Interactivos,WYU-EPIC-003,Medium,55,"Implementar ejercicios interactivos adaptados por nivel del usuario","5+ tipos de ejercicios implementados; Ejercicios adaptativos; Feedback inmediato; Integración con audio",2025-03-18,,frontend;exercises;interactive;audio,Learning Tools
Sub-task,Framework de ejercicios,WYU-007,Medium,13,"Desarrollar sistema base de ejercicios con evaluación","Sistema base implementado; Engine de evaluación funcionando; Progress tracking activo",2025-02-28,,frontend;framework;evaluation,Learning Tools
Sub-task,Ejercicios de pronunciación,WYU-007,Medium,21,"Implementar ejercicios de pronunciación con Web Speech API","Web Speech API integrada; Análisis de pronunciación básico; Feedback visual y auditivo",2025-03-07,,frontend;audio;speech;pronunciation,Learning Tools
Sub-task,Cuestionarios de vocabulario,WYU-007,Medium,8,"Desarrollar cuestionarios interactivos de vocabulario","Multiple choice implementado; Fill in the blanks creado; Matching exercises funcionando",2025-03-11,,frontend;vocabulary;quiz;interactive,Learning Tools
Sub-task,Conjugación de verbos,WYU-007,Medium,13,"Implementar sistema de conjugaciones wayuu","Sistema de conjugaciones creado; Ejercicios de construcción de oraciones; Validación de respuestas",2025-03-18,,frontend;grammar;verbs;wayuu,Learning Tools
Story,Sistema de Gamificación,WYU-EPIC-003,Medium,29,"Implementar sistema de puntos y logros para motivar el aprendizaje","Sistema de puntos implementado; 20+ logros disponibles; Progreso visual por niveles; Leaderboard opcional",2025-03-29,,frontend;gamification;achievements;leaderboard,Learning Tools
Sub-task,Sistema de puntuación,WYU-008,Medium,8,"Desarrollar engine de cálculo de puntos por actividades","Points calculation engine; Activity tracking; Bonus multipliers implementados",2025-03-21,,frontend;points;scoring;tracking,Learning Tools
Sub-task,Sistema de logros,WYU-008,Medium,13,"Implementar 20+ logros diferentes con notificaciones","Achievement definitions creadas; Progress tracking implementado; Notification system funcionando",2025-03-25,,frontend;achievements;notifications;progress,Learning Tools
Sub-task,Progreso por niveles,WYU-008,Medium,8,"Implementar sistema visual de progreso por niveles","Level system diseñado; XP requirements definidos; Visual progress indicators implementados",2025-03-29,,frontend;levels;xp;visual-progress,Learning Tools
Epic,Análisis y Lingüística,WYU-EPIC-004,Medium,144,"Implementar análisis avanzado con IA y procesamiento de lenguaje natural para wayuu","Sistema completo de análisis lingüístico con IA funcionando",2025-05-27,,backend;ai;nlp;linguistics,AI & Linguistics
Story,Integración con LLM Gemini,WYU-EPIC-004,Medium,50,"Generar automáticamente nuevas entradas del diccionario usando IA","Integración funcional con Gemini API; Generación de 100+ entradas por ejecución; Validación automática; Sistema de review manual",2025-04-18,,backend;ai;gemini;dictionary,AI & Linguistics
Sub-task,Integración con Gemini API,WYU-009,Medium,8,"Configurar cliente para Google Gemini API","API client configurado; Authentication y rate limiting; Error handling implementado",2025-04-01,,backend;api;gemini;integration,AI & Linguistics
Sub-task,Prompt engineering para wayuu,WYU-009,Medium,13,"Desarrollar prompts específicos para generación de contenido wayuu","Prompts específicos desarrollados; Context injection implementado; Output format estandarizado",2025-04-08,,backend;ai;prompts;wayuu,AI & Linguistics
Sub-task,Sistema de validación automática,WYU-009,Medium,21,"Implementar ML para validar calidad de traducciones generadas","ML model para validación; Confidence scoring; Flagging de entradas sospechosas",2025-04-15,,backend;ml;validation;quality,AI & Linguistics
Sub-task,Pipeline de review manual,WYU-009,Medium,8,"Crear interface para revisión manual de entradas generadas","Interface de revisión creada; Workflow de aprobación; Integration con diccionario principal",2025-04-18,,frontend;review;workflow;manual,AI & Linguistics
Story,Análisis Fonético Avanzado,WYU-EPIC-004,Medium,55,"Analizar patrones fonéticos en grabaciones wayuu para mejorar reconocimiento de voz","Análisis de espectrogramas; Detección de patrones fonéticos; Mapeo wayuu→español; Comparación de pronunciación",2025-05-09,,backend;audio;phonetics;analysis,AI & Linguistics
Sub-task,Análisis de espectrogramas,WYU-010,Medium,21,"Implementar análisis de espectrogramas con librosa","librosa integrado; Feature extraction implementado; Pattern recognition algorithms funcionando",2025-04-25,,backend;audio;spectrogram;analysis,AI & Linguistics
Sub-task,Mapeo fonético,WYU-010,Medium,13,"Crear mapeo de fonemas wayuu a representación IPA","Fonemas wayuu identificados; Correspondencias con IPA; Database de mapeos fonéticos",2025-05-02,,backend;phonetics;ipa;mapping,AI & Linguistics
Sub-task,Comparación de pronunciación,WYU-010,Medium,21,"Implementar comparación de pronunciación usuario vs nativo","DTW para comparación; Scoring algorithm; Visual feedback para usuarios",2025-05-09,,backend;pronunciation;comparison;dtw,AI & Linguistics
Story,Procesamiento NLP Avanzado,WYU-EPIC-004,Medium,68,"Implementar análisis sintáctico para oraciones wayuu","Parser sintáctico implementado; Detección de entidades culturales; Clasificación automática; Sugerencias de mejora",2025-05-27,,backend;nlp;syntax;entities,AI & Linguistics
Sub-task,Parser sintáctico wayuu,WYU-011,Medium,34,"Desarrollar parser sintáctico específico para wayuu","Grammar rules para wayuu; Dependency parsing; Syntax tree generation",2025-05-16,,backend;nlp;parser;syntax,AI & Linguistics
Sub-task,Named Entity Recognition,WYU-011,Medium,21,"Entrenar modelo NER para entidades culturales wayuu","Training data preparation; Model training para entidades wayuu; Integration con pipeline",2025-05-23,,backend;nlp;ner;cultural,AI & Linguistics
Sub-task,Clasificación de contenido,WYU-011,Medium,13,"Implementar clasificación automática de contenido por temas","Topic modeling implementado; Content categorization; Automated tagging system",2025-05-27,,backend;nlp;classification;topics,AI & Linguistics
Epic,Escalabilidad y Performance,WYU-EPIC-005,Low,89,"Migrar a arquitectura escalable con microservicios y optimización de performance","Sistema escalable y optimizado funcionando",2025-07-01,,backend;frontend;scalability;performance,Scalability
Story,Optimización Backend,WYU-EPIC-005,Low,55,"Migrar a arquitectura de microservicios para mejorar escalabilidad","Servicios separados por dominio; API Gateway implementado; Database optimizada; Load balancing configurado",2025-06-17,,backend;microservices;architecture,Scalability
Sub-task,Diseño de microservicios,WYU-012,Low,13,"Definir boundaries de servicios y contratos de API","Service boundaries definidos; API contracts diseñados; Data consistency strategy",2025-05-30,,backend;architecture;design,Scalability
Sub-task,Migration plan,WYU-012,Low,21,"Desarrollar plan de migración gradual con rollback","Gradual migration strategy; Data migration scripts; Rollback procedures",2025-06-10,,backend;migration;data,Scalability
Sub-task,Infrastructure setup,WYU-012,Low,21,"Configurar orquestación de contenedores y service mesh","Container orchestration; Service mesh configuration; Monitoring y logging",2025-06-17,,backend;infrastructure;containers,Scalability
Story,Frontend Moderno,WYU-EPIC-005,Low,68,"Completar migración a Next.js con capacidades PWA","Migración a Next.js finalizada; PWA implementada; Modo offline; Performance >90 Lighthouse",2025-07-01,,frontend;nextjs;pwa;performance,Scalability
Sub-task,Migración a Next.js,WYU-013,Low,34,"Migrar componentes y estado a Next.js","Component migration completada; State management actualizado; Routing implementado",2025-06-20,,frontend;nextjs;migration,Scalability
Sub-task,PWA implementation,WYU-013,Low,21,"Implementar capacidades de Progressive Web App","Service worker configurado; Manifest configurado; Offline strategies implementadas",2025-06-27,,frontend;pwa;offline,Scalability
Sub-task,Performance optimization,WYU-013,Low,13,"Optimizar performance para score >90 en Lighthouse","Code splitting implementado; Image optimization; Bundle size reducido",2025-07-01,,frontend;performance;optimization,Scalability
Epic,Comunidad y Colaboración,WYU-EPIC-006,Low,144,"Desarrollar plataforma de colaboración comunitaria con sistema de usuarios completo","Plataforma comunitaria completamente funcional",2025-08-26,,frontend;backend;community;collaboration,Community
Story,Sistema de Usuarios Completo,WYU-EPIC-006,Low,47,"Implementar sistema completo de usuarios con perfiles personalizados","Autenticación con Google y GitHub; Perfiles personalizables; Historial de actividades; Configuraciones personalizadas",2025-07-22,,backend;frontend;auth;profiles,Community
Sub-task,Authentication system,WYU-014,Low,21,"Implementar autenticación OAuth con control de roles","OAuth integration; JWT token management; Role-based access control",2025-07-08,,backend;auth;oauth;security,Community
Sub-task,User profiles,WYU-014,Low,13,"Desarrollar interface de gestión de perfiles de usuario","Profile management interface; Avatar y personal info; Privacy settings",2025-07-15,,frontend;profiles;privacy,Community
Sub-task,Activity tracking,WYU-014,Low,13,"Implementar tracking de actividades y progreso de aprendizaje","Learning history logging; Progress analytics; Achievement history",2025-07-22,,backend;tracking;analytics,Community
Story,Plataforma de Colaboración,WYU-EPIC-006,Low,76,"Crear plataforma para contribuciones comunitarias y peer review","Sistema de contribuciones; Peer review workflow; Foro de discusión; API pública documentada",2025-08-26,,frontend;backend;collaboration;api,Community
Sub-task,Content contribution system,WYU-015,Low,21,"Desarrollar sistema para contribuciones de contenido comunitario","Submission interface; Content moderation tools; Quality assessment workflow",2025-07-29,,frontend;content;moderation,Community
Sub-task,Peer review system,WYU-015,Low,21,"Implementar sistema de peer review con algoritmo de asignación","Review assignment algorithm; Voting y consensus mechanisms; Reviewer reputation system",2025-08-05,,backend;review;algorithm,Community
Sub-task,Community forum,WYU-015,Low,21,"Crear foro de discusión integrado con moderación","Discussion threads; Moderation tools; Integration con user profiles",2025-08-12,,frontend;forum;moderation,Community
Sub-task,Public API,WYU-015,Low,13,"Desarrollar y documentar API pública para desarrolladores","API documentation; Rate limiting; Developer portal",2025-08-26,,backend;api;documentation,Community